algorithm,feature_set,params,n_clusters,inertia,noise_ratio
dbscan,income_spending,"{""eps"": 0.7, ""min_samples"": 10}",1,,0.015151515151515152
dbscan,income_spending,"{""eps"": 0.8, ""min_samples"": 3}",1,,0.0
dbscan,income_spending,"{""eps"": 0.8, ""min_samples"": 4}",1,,0.0
dbscan,income_spending,"{""eps"": 0.8, ""min_samples"": 5}",1,,0.0
dbscan,income_spending,"{""eps"": 0.8, ""min_samples"": 8}",1,,0.010101010101010102
dbscan,income_spending,"{""eps"": 0.8, ""min_samples"": 10}",1,,0.010101010101010102
dbscan,income_spending,"{""eps"": 0.9, ""min_samples"": 3}",1,,0.0
dbscan,income_spending,"{""eps"": 0.9, ""min_samples"": 4}",1,,0.0
dbscan,income_spending,"{""eps"": 0.9, ""min_samples"": 5}",1,,0.0
dbscan,income_spending,"{""eps"": 0.9, ""min_samples"": 8}",1,,0.005050505050505051
dbscan,income_spending,"{""eps"": 0.9, ""min_samples"": 10}",1,,0.010101010101010102
dbscan,income_spending,"{""eps"": 1.0, ""min_samples"": 3}",1,,0.0
dbscan,income_spending,"{""eps"": 1.0, ""min_samples"": 4}",1,,0.0
dbscan,income_spending,"{""eps"": 1.0, ""min_samples"": 5}",1,,0.0
dbscan,income_spending,"{""eps"": 1.0, ""min_samples"": 8}",1,,0.0
dbscan,income_spending,"{""eps"": 1.0, ""min_samples"": 10}",1,,0.0
dbscan,income_spending,"{""eps"": 1.2, ""min_samples"": 3}",1,,0.0
dbscan,income_spending,"{""eps"": 1.2, ""min_samples"": 4}",1,,0.0
dbscan,income_spending,"{""eps"": 1.2, ""min_samples"": 5}",1,,0.0
dbscan,income_spending,"{""eps"": 1.2, ""min_samples"": 8}",1,,0.0
dbscan,income_spending,"{""eps"": 1.2, ""min_samples"": 10}",1,,0.0
dbscan,income_spending,"{""eps"": 1.5, ""min_samples"": 3}",1,,0.0
dbscan,income_spending,"{""eps"": 1.5, ""min_samples"": 4}",1,,0.0
dbscan,income_spending,"{""eps"": 1.5, ""min_samples"": 5}",1,,0.0
dbscan,income_spending,"{""eps"": 1.5, ""min_samples"": 8}",1,,0.0
dbscan,income_spending,"{""eps"": 1.5, ""min_samples"": 10}",1,,0.0
kmeans,numeric_only,"{""n_clusters"": 2, ""random_state"": 42}",2,385.28045294960316,0.0
kmeans,numeric_only,"{""n_clusters"": 3, ""random_state"": 42}",3,300.6077877607213,0.0
kmeans,numeric_only,"{""n_clusters"": 4, ""random_state"": 42}",4,202.69707701808613,0.0
kmeans,numeric_only,"{""n_clusters"": 5, ""random_state"": 42}",5,166.28024557954498,0.0
kmeans,numeric_only,"{""n_clusters"": 6, ""random_state"": 42}",6,129.14070006897126,0.0
kmeans,numeric_only,"{""n_clusters"": 7, ""random_state"": 42}",7,115.59946244047221,0.0
kmeans,numeric_only,"{""n_clusters"": 8, ""random_state"": 42}",8,98.95467440708106,0.0
kmeans,numeric_only,"{""n_clusters"": 9, ""random_state"": 42}",9,87.4232911350288,0.0
kmeans,numeric_only,"{""n_clusters"": 10, ""random_state"": 42}",10,79.50243415038143,0.0
agglomerative,numeric_only,"{""linkage"": ""ward"", ""n_clusters"": 2}",2,,0.0
agglomerative,numeric_only,"{""linkage"": ""complete"", ""n_clusters"": 2}",2,,0.0
agglomerative,numeric_only,"{""linkage"": ""average"", ""n_clusters"": 2}",2,,0.0
agglomerative,numeric_only,"{""linkage"": ""single"", ""n_clusters"": 2}",2,,0.0
agglomerative,numeric_only,"{""linkage"": ""ward"", ""n_clusters"": 3}",3,,0.0
agglomerative,numeric_only,"{""linkage"": ""complete"", ""n_clusters"": 3}",3,,0.0
agglomerative,numeric_only,"{""linkage"": ""average"", ""n_clusters"": 3}",3,,0.0
agglomerative,numeric_only,"{""linkage"": ""single"", ""n_clusters"": 3}",3,,0.0
agglomerative,numeric_only,"{""linkage"": ""ward"", ""n_clusters"": 4}",4,,0.0
agglomerative,numeric_only,"{""linkage"": ""complete"", ""n_clusters"": 4}",4,,0.0
agglomerative,numeric_only,"{""linkage"": ""average"", ""n_clusters"": 4}",4,,0.0
agglomerative,numeric_only,"{""linkage"": ""single"", ""n_clusters"": 4}",4,,0.0
agglomerative,numeric_only,"{""linkage"": ""ward"", ""n_clusters"": 5}",5,,0.0
agglomerative,numeric_only,"{""linkage"": ""complete"", ""n_clusters"": 5}",5,,0.0
agglomerative,numeric_only,"{""linkage"": ""average"", ""n_clusters"": 5}",5,,0.0
agglomerative,numeric_only,"{""linkage"": ""single"", ""n_clusters"": 5}",5,,0.0
agglomerative,numeric_only,"{""linkage"": ""ward"", ""n_clusters"": 6}",6,,0.0
agglomerative,numeric_only,"{""linkage"": ""complete"", ""n_clusters"": 6}",6,,0.0
agglomerative,numeric_only,"{""linkage"": ""average"", ""n_clusters"": 6}",6,,0.0
agglomerative,numeric_only,"{""linkage"": ""single"", ""n_clusters"": 6}",6,,0.0
agglomerative,numeric_only,"{""linkage"": ""ward"", ""n_clusters"": 7}",7,,0.0
agglomerative,numeric_only,"{""linkage"": ""complete"", ""n_clusters"": 7}",7,,0.0
agglomerative,numeric_only,"{""linkage"": ""average"", ""n_clusters"": 7}",7,,0.0
agglomerative,numeric_only,"{""linkage"": ""single"", ""n_clusters"": 7}",7,,0.0
agglomerative,numeric_only,"{""linkage"": ""ward"", ""n_clusters"": 8}",8,,0.0
agglomerative,numeric_only,"{""linkage"": ""complete"", ""n_clusters"": 8}",8,,0.0
agglomerative,numeric_only,"{""linkage"": ""average"", ""n_clusters"": 8}",8,,0.0
agglomerative,numeric_only,"{""linkage"": ""single"", ""n_clusters"": 8}",8,,0.0
agglomerative,numeric_only,"{""linkage"": ""ward"", ""n_clusters"": 9}",9,,0.0
agglomerative,numeric_only,"{""linkage"": ""complete"", ""n_clusters"": 9}",9,,0.0
agglomerative,numeric_only,"{""linkage"": ""average"", ""n_clusters"": 9}",9,,0.0
agglomerative,numeric_only,"{""linkage"": ""single"", ""n_clusters"": 9}",9,,0.0
agglomerative,numeric_only,"{""linkage"": ""ward"", ""n_clusters"": 10}",10,,0.0
agglomerative,numeric_only,"{""linkage"": ""complete"", ""n_clusters"": 10}",10,,0.0
agglomerative,numeric_only,"{""linkage"": ""average"", ""n_clusters"": 10}",10,,0.0
agglomerative,numeric_only,"{""linkage"": ""single"", ""n_clusters"": 10}",10,,0.0
dbscan,numeric_only,"{""eps"": 0.3, ""min_samples"": 3}",12,,0.5151515151515151
dbscan,numeric_only,"{""eps"": 0.3, ""min_samples"": 4}",8,,0.6060606060606061
dbscan,numeric_only,"{""eps"": 0.3, ""min_samples"": 5}",9,,0.696969696969697
dbscan,numeric_only,"{""eps"": 0.3, ""min_samples"": 8}",0,,1.0
dbscan,numeric_only,"{""eps"": 0.3, ""min_samples"": 10}",0,,1.0
dbscan,numeric_only,"{""eps"": 0.4, ""min_samples"": 3}",10,,0.2878787878787879
dbscan,numeric_only,"{""eps"": 0.4, ""min_samples"": 4}",8,,0.3686868686868687
