candidate_id,algorithm,feature_set,params,n_clusters,silhouette_score,davies_bouldin_score,calinski_harabasz_score,inertia,noise_ratio,acceptable_noise,valid_candidate,preferred_cluster_count,interpretability_rank,feature_set_rank
37,agglomerative,income_spending,"{""linkage"": ""ward"", ""n_clusters"": 9}",9,0.43768997758154127,0.7764870413225806,252.92935867906488,,0.0,True,True,False,1,0
38,agglomerative,income_spending,"{""linkage"": ""complete"", ""n_clusters"": 9}",9,0.4768636229150724,0.7741253760878047,220.25942255661906,,0.0,True,True,False,2,0
39,agglomerative,income_spending,"{""linkage"": ""average"", ""n_clusters"": 9}",9,0.5015271571743558,0.722030283230427,210.4128972866596,,0.0,True,True,False,3,0
40,agglomerative,income_spending,"{""linkage"": ""single"", ""n_clusters"": 9}",9,0.22697673223620718,0.46772745120421116,17.14915644384111,,0.0,True,True,False,6,0
41,agglomerative,income_spending,"{""linkage"": ""ward"", ""n_clusters"": 10}",10,0.4339007174968657,0.766996952436528,252.51721966723872,,0.0,True,True,False,1,0
42,agglomerative,income_spending,"{""linkage"": ""complete"", ""n_clusters"": 10}",10,0.46124751689311266,0.7737505016193136,226.12402411866472,,0.0,True,True,False,2,0
43,agglomerative,income_spending,"{""linkage"": ""average"", ""n_clusters"": 10}",10,0.4811351696667838,0.7264761068563219,214.7702504924834,,0.0,True,True,False,3,0
44,agglomerative,income_spending,"{""linkage"": ""single"", ""n_clusters"": 10}",10,0.18500746486693498,0.45911483317695767,18.22106929294686,,0.0,True,True,False,6,0
45,dbscan,income_spending,"{""eps"": 0.3, ""min_samples"": 3}",9,0.47204049387962216,0.6745064942111203,176.36373641982087,,0.07,True,True,False,4,0
46,dbscan,income_spending,"{""eps"": 0.3, ""min_samples"": 4}",8,,,,,0.115,False,False,False,4,0
47,dbscan,income_spending,"{""eps"": 0.3, ""min_samples"": 5}",7,,,,,0.175,False,False,False,4,0
48,dbscan,income_spending,"{""eps"": 0.3, ""min_samples"": 8}",5,,,,,0.36,False,False,True,4,0
49,dbscan,income_spending,"{""eps"": 0.3, ""min_samples"": 10}",4,,,,,0.44,False,False,True,4,0
50,dbscan,income_spending,"{""eps"": 0.4, ""min_samples"": 3}",4,0.3953808255515419,0.6012049471284664,97.17228378132755,,0.05,True,True,True,4,0
51,dbscan,income_spending,"{""eps"": 0.4, ""min_samples"": 4}",3,0.45757015654927535,0.6545595910475205,132.0363452367381,,0.07,True,True,True,4,0
52,dbscan,income_spending,"{""eps"": 0.4, ""min_samples"": 5}",4,0.4780592455223124,0.5911527625620239,146.8879557923781,,0.075,True,True,True,4,0
53,dbscan,income_spending,"{""eps"": 0.4, ""min_samples"": 8}",5,,,,,0.125,False,False,True,4,0
54,dbscan,income_spending,"{""eps"": 0.4, ""min_samples"": 10}",4,,,,,0.255,False,False,True,4,0
55,dbscan,income_spending,"{""eps"": 0.5, ""min_samples"": 3}",2,0.3892468662417122,0.7961515788961756,87.6182749341332,,0.035,True,True,False,4,0
