cluster_id,size,percentage,mean_age,median_age,mean_annual_income_k,median_annual_income_k,mean_spending_score,median_spending_score,top_gender,segment_name,business_interpretation
0,80,40.4040404040404,42.9375,46.5,55.0875,54.0,49.7125,50.0,Female,Average Income - Average Spending,"Cluster 0 contains 40.4% of customers. The segment has an average age of 42.9, average annual income of 55.1k USD, and average spending score of 49.7. The dominant gender category is Female."
1,10,5.05050505050505,32.7,32.0,105.3,102.0,82.7,85.5,Female,High Income - High Spending,"Cluster 1 contains 5.1% of customers. The segment has an average age of 32.7, average annual income of 105.3k USD, and average spending score of 82.7. The dominant gender category is Female."
2,22,11.11111111111111,25.272727272727273,23.5,25.727272727272727,24.5,79.36363636363636,77.0,Female,Young High Spenders,"Cluster 2 contains 11.1% of customers. The segment has an average age of 25.3, average annual income of 25.7k USD, and average spending score of 79.4. The dominant gender category is Female."
3,35,17.67676767676768,40.91428571428571,42.0,86.34285714285714,81.0,17.571428571428573,16.0,Male,High Income - Low Spending,"Cluster 3 contains 17.7% of customers. The segment has an average age of 40.9, average annual income of 86.3k USD, and average spending score of 17.6. The dominant gender category is Male."
4,28,14.14141414141414,32.785714285714285,32.0,78.03571428571429,78.0,81.89285714285714,80.5,Female,High Income - High Spending,"Cluster 4 contains 14.1% of customers. The segment has an average age of 32.8, average annual income of 78.0k USD, and average spending score of 81.9. The dominant gender category is Female."
5,23,11.616161616161616,45.21739130434783,46.0,26.304347826086957,25.0,20.91304347826087,17.0,Female,Low Income - Low Spending,"Cluster 5 contains 11.6% of customers. The segment has an average age of 45.2, average annual income of 26.3k USD, and average spending score of 20.9. The dominant gender category is Female."
