source_name,url,access_method,download_date,license_note,local_file
kaggle_primary,https://www.kaggle.com/datasets/vjchoudhary7/customer-segmentation-tutorial-in-python,kagglehub.dataset_download,2026-07-01,Refer to the Kaggle dataset page for the active license and usage notes.,C:/Users/User/OneDrive - ut.edu.vn/Documents/Machine Learning - Trường/customer_segmentation_clustering/data/raw/Mall_Customers.csv
kaggle_primary,https://www.kaggle.com/datasets/vjchoudhary7/customer-segmentation-tutorial-in-python,kagglehub.dataset_download,2026-07-01,Refer to the Kaggle dataset page for the active license and usage notes.,C:/Users/User/OneDrive - ut.edu.vn/Documents/Machine Learning - Trường/customer_segmentation_clustering/data/raw/mall_customers/Mall_Customers.csv
uci_online_retail,https://archive.ics.uci.edu/dataset/352/online%2Bretail,direct_zip_download,2026-07-01,"UCI Machine Learning Repository, CC BY 4.0 according to the dataset page.",C:/Users/User/OneDrive - ut.edu.vn/Documents/Machine Learning - Trường/customer_segmentation_clustering/data/raw/online_retail/Online Retail.xlsx
