algorithm,feature_set,params,n_clusters,inertia,noise_ratio
dbscan,rfm,"{""eps"": 0.8, ""min_samples"": 4}",2,,0.009220839096357769
dbscan,rfm,"{""eps"": 0.8, ""min_samples"": 5}",1,,0.01037344398340249
dbscan,rfm,"{""eps"": 0.8, ""min_samples"": 8}",1,,0.011065006915629323
dbscan,rfm,"{""eps"": 0.8, ""min_samples"": 10}",1,,0.01313969571230982
dbscan,rfm,"{""eps"": 0.9, ""min_samples"": 3}",3,,0.00714615029967727
dbscan,rfm,"{""eps"": 0.9, ""min_samples"": 4}",1,,0.008529276164130935
dbscan,rfm,"{""eps"": 0.9, ""min_samples"": 5}",1,,0.008529276164130935
dbscan,rfm,"{""eps"": 0.9, ""min_samples"": 8}",1,,0.010603964960811434
dbscan,rfm,"{""eps"": 0.9, ""min_samples"": 10}",1,,0.011526048870447211
dbscan,rfm,"{""eps"": 1.0, ""min_samples"": 3}",3,,0.006915629322268326
dbscan,rfm,"{""eps"": 1.0, ""min_samples"": 4}",2,,0.007607192254495159
dbscan,rfm,"{""eps"": 1.0, ""min_samples"": 5}",1,,0.008529276164130935
dbscan,rfm,"{""eps"": 1.0, ""min_samples"": 8}",1,,0.009681881051175657
dbscan,rfm,"{""eps"": 1.0, ""min_samples"": 10}",1,,0.009681881051175657
dbscan,rfm,"{""eps"": 1.2, ""min_samples"": 3}",3,,0.00599354541263255
dbscan,rfm,"{""eps"": 1.2, ""min_samples"": 4}",2,,0.006685108344859382
dbscan,rfm,"{""eps"": 1.2, ""min_samples"": 5}",1,,0.007607192254495159
dbscan,rfm,"{""eps"": 1.2, ""min_samples"": 8}",1,,0.007607192254495159
dbscan,rfm,"{""eps"": 1.2, ""min_samples"": 10}",1,,0.008068234209313048
dbscan,rfm,"{""eps"": 1.5, ""min_samples"": 3}",3,,0.005301982480405717
dbscan,rfm,"{""eps"": 1.5, ""min_samples"": 4}",3,,0.005301982480405717
dbscan,rfm,"{""eps"": 1.5, ""min_samples"": 5}",1,,0.007376671277086215
dbscan,rfm,"{""eps"": 1.5, ""min_samples"": 8}",1,,0.007376671277086215
dbscan,rfm,"{""eps"": 1.5, ""min_samples"": 10}",1,,0.007607192254495159
